stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
000807.SZ,,highest_peak,20210917,20.21,20250317,6.063,2025-03-26 00:49:54
600160.SH,,highest_peak,20120323,24.11,20150923,7.233,2025-03-26 00:49:04
600018.SH,,highest_peak,20150424,10.53,20181024,3.159,2025-03-26 00:48:40
300394.SZ,,highest_peak,20151225,132.01,20190625,39.602999999999994,2025-03-26 00:51:33
002938.SZ,,highest_peak,20201009,58.84,20240409,17.652,2025-03-26 00:50:40
601021.SH,,highest_peak,20150612,134.68,20181212,40.404,2025-03-26 00:45:54
601088.SH,,highest_peak,20220610,34.81,20251210,10.443,2025-03-26 00:43:15
601901.SH,,highest_peak,20150410,16.06,20181010,4.818,2025-03-26 00:49:36
605499.SH,,highest_peak,20210618,265.65,20241218,79.695,2025-03-26 00:42:29
600938.SH,,highest_peak,20230928,21.14,20270328,6.342,2025-03-26 00:41:59
002601.SZ,,highest_peak,20120316,104.8,20150916,31.439999999999998,2025-03-26 00:51:09
601628.SH,,highest_peak,20201016,49.63,20240416,14.889,2025-03-26 00:41:02
600332.SH,,highest_peak,20150612,45.95,20181212,13.785,2025-03-26 00:48:12
600515.SH,,highest_peak,20151225,18.51,20190625,5.553,2025-03-26 00:48:42
002916.SZ,,highest_peak,20200313,258.58,20230913,77.574,2025-03-26 00:46:55
601211.SH,,highest_peak,20150710,31.32,20190110,9.395999999999999,2025-03-26 00:42:42
600026.SH,,highest_peak,20221021,20.08,20260421,6.023999999999999,2025-03-26 00:48:38
600036.SH,,highest_peak,20210528,58.5,20241128,17.55,2025-03-26 00:43:38
601857.SH,,highest_peak,20150724,13.68,20190124,4.104,2025-03-26 00:44:31
601607.SH,,highest_peak,20150515,31.05,20181115,9.315,2025-03-26 00:46:09
000338.SZ,,highest_peak,20150612,35.83,20181212,10.748999999999999,2025-03-26 00:44:51
600489.SH,,highest_peak,20120615,23.8,20151215,7.14,2025-03-26 00:50:01
688303.SH,,highest_peak,20210827,87.33,20250227,26.198999999999998,2025-03-26 00:47:33
300122.SZ,,highest_peak,20210430,225.45,20241030,67.63499999999999,2025-03-26 00:51:14
