trade_date,open,high,low,close,vol
20200918,18.55,20.56,17.78,20.35,196661333.0
20200911,20.85,21.14,17.97,18.5,155671563.0
20200904,20.98,21.45,20.33,20.95,112170632.0
20200828,21.93,21.96,20.21,20.91,167396522.0
20200821,23.39,23.85,21.51,21.93,171161149.0
20200814,23.4,23.68,23.03,23.37,113936153.0
20200807,24.11,24.6,23.1,23.44,177546432.0
20200731,23.5,24.45,23.07,24.06,146213279.0
20200724,24.4,25.19,23.06,23.49,202837668.0
20200717,27.23,28.17,23.85,24.24,359849937.0
20200710,26.0,28.45,26.0,27.24,476790550.0
20200703,24.84,26.0,24.28,25.81,287613140.0
20200624,24.5,25.21,24.02,24.96,145344659.0
20200619,23.28,24.78,23.09,24.45,203792819.0
20200612,24.4,24.96,23.0,23.43,163987031.0
20200605,23.65,24.65,23.65,24.15,173023935.0
20200529,24.21,24.35,22.9,23.43,139057050.0
20200522,26.35,26.35,23.6,24.17,252802796.0
20200515,27.45,27.48,26.31,26.62,188414217.0
20200508,26.62,28.88,26.52,27.41,152094318.0
20200430,25.65,27.25,25.05,26.86,149507392.0
20200424,25.85,27.28,25.45,25.56,217308955.0
20200417,24.48,26.08,24.0,25.78,185718412.0
20200410,24.2,26.39,23.95,24.91,203730382.0
20200403,24.31,24.49,23.1,23.58,215526738.0
20200327,25.0,26.96,24.44,25.09,262796595.0
20200320,28.99,29.16,23.7,25.9,420005786.0
20200313,26.58,30.96,26.3,28.6,512808147.0
20200306,27.11,30.44,26.6,27.25,541667836.0
20200228,25.6,31.48,25.38,26.1,839503547.0
20200221,23.29,26.08,22.98,25.45,542364931.0
20200214,22.28,23.35,21.58,22.98,389415886.0
20200207,21.57,22.29,19.41,22.15,394283713.0
20200123,23.84,25.36,23.5,23.97,301148722.0
20200117,23.63,24.9,23.48,23.93,357944332.0
20200110,23.1,23.85,22.6,23.44,267058963.0
20200103,22.0,23.99,21.39,23.42,245930977.0
20191227,22.9,22.9,21.8,22.04,227359706.0
20191220,23.75,25.58,23.13,23.16,401127953.0
20191213,23.21,24.49,22.72,23.73,349051170.0
20191206,22.49,23.5,22.22,23.18,348734314.0
20191129,21.83,22.99,20.58,22.49,309540247.0
20191122,22.74,23.44,21.62,21.88,276940188.0
20191115,21.48,23.68,20.65,22.83,438508044.0
20191108,21.94,22.77,21.51,21.92,314482322.0
20191101,24.6,25.79,21.45,21.85,451093817.0
20191025,24.46,25.08,23.4,24.67,276887272.0
20191018,26.1,27.25,24.4,24.5,333090590.0
20191011,24.96,26.47,23.57,25.81,337320004.0
20190930,25.6,25.74,23.88,24.5,77836910.0
20190927,28.08,29.6,25.02,25.46,522598924.0
20190920,26.0,29.47,25.01,28.72,567343548.0
20190912,27.16,27.66,25.55,26.1,554952924.0
20190906,21.77,28.58,21.77,26.88,702053594.0
20190830,18.86,23.07,18.86,21.59,537913350.0
20190823,18.49,20.19,18.2,19.39,559361267.0
20190816,18.44,20.24,17.09,18.26,605057160.0
20190809,15.99,19.68,15.61,18.5,524302803.0
20190802,16.08,16.94,15.31,16.06,358551800.0
20190726,14.43,16.59,13.88,15.99,397190445.0
20190719,13.81,15.5,13.6,14.39,426646181.0
20190712,13.75,14.65,13.31,13.87,465471663.0
20190705,14.49,14.98,13.23,13.7,918237262.0
20190628,11.1,13.62,10.58,13.62,290784070.0
20190621,10.15,11.25,9.94,11.14,270914388.0
20190614,9.89,10.84,9.89,10.15,351419672.0
20190606,9.26,10.75,9.26,9.88,432972276.0
20190531,9.17,9.55,8.95,9.2,231981152.0
20190524,9.88,9.95,8.81,9.14,376037569.0
20190517,10.4,10.75,9.8,9.89,260747934.0
20190510,10.7,10.91,9.56,10.67,263686575.0
20190430,11.83,12.06,11.12,11.39,92791704.0
20190426,12.55,13.34,11.72,11.85,276846085.0
20190419,11.96,12.83,11.55,12.52,319470260.0
20190412,12.57,12.75,11.56,11.66,242830269.0
20190404,11.85,12.98,11.6,12.53,351507613.0
20190329,10.59,11.75,10.51,11.53,368463070.0
20190322,11.1,11.45,10.6,10.88,268456341.0
20190315,10.93,12.1,10.75,11.1,451178056.0
20190308,10.97,11.58,10.22,10.83,497795122.0
20190301,11.06,11.8,10.51,10.9,463630753.0
20190222,8.98,11.18,8.97,10.68,476955530.0
20190215,8.64,9.29,8.58,8.93,275283543.0
20190201,8.07,8.59,7.99,8.57,239234560.0
20190125,8.1,8.39,7.85,8.04,221041227.0
20190118,7.69,8.49,7.55,8.13,309854139.0
20190111,7.41,8.08,7.41,7.75,328735733.0
20190104,7.2,7.48,6.68,7.43,155904357.0
20181228,6.69,7.43,6.66,7.17,258214224.0
20181221,6.9,7.03,6.49,6.72,179279445.0
20181214,6.95,7.45,6.9,7.0,203965940.0
20181207,7.76,7.92,6.89,7.05,326791220.0
20181130,7.18,7.76,7.07,7.33,219015542.0
20181123,8.02,8.1,7.01,7.2,213392417.0
20181116,7.9,8.23,7.53,8.1,252074640.0
20181109,7.66,8.4,7.24,7.88,295876938.0
20181102,7.48,7.74,6.97,7.67,248096353.0
20181026,7.15,8.0,6.95,7.48,353797569.0
20181019,6.13,6.79,5.84,6.73,268619682.0
20181012,6.2,6.4,5.59,6.13,233558337.0
20180928,6.69,7.1,6.19,6.45,182158729.0
20180921,6.15,7.13,6.08,6.81,233601817.0
20180914,6.29,6.65,6.17,6.19,294646665.0
20180907,6.42,7.14,6.15,6.33,428383354.0
20180831,6.14,6.62,5.93,6.32,452327150.0
20180824,4.87,5.86,4.86,5.86,212436467.0
20180817,4.87,5.15,4.81,4.95,157256203.0
20180810,4.31,4.86,4.28,4.81,105341835.0
20180803,4.67,4.72,4.26,4.36,138788403.0
20180727,4.46,4.72,4.43,4.67,120314704.0
20180720,4.22,4.76,4.2,4.46,133775989.0
20180713,3.82,4.22,3.81,4.19,86063906.0
20180706,3.74,3.87,3.7,3.82,42533627.0
20180629,3.79,3.8,3.36,3.74,40887297.0
20180622,4.08,4.08,3.64,3.74,45933614.0
20180615,4.1,4.23,4.07,4.11,52605633.0
20180608,4.12,4.21,4.08,4.13,32113666.0
20180601,4.33,4.36,4.06,4.09,44780734.0
20180525,4.47,4.56,4.3,4.33,52449196.0
20180518,4.39,4.53,4.33,4.45,61670650.0
20180511,4.36,4.57,4.35,4.37,67230081.0
20180504,4.4,4.47,4.24,4.36,51194769.0
20180427,4.29,4.55,4.22,4.37,110071390.0
20180420,4.18,4.58,4.1,4.32,116317022.0
20180413,4.22,4.25,4.07,4.2,69622542.0
20180404,4.38,4.47,4.23,4.23,41654456.0
20180330,4.05,4.38,3.98,4.36,71767420.0
20180323,4.62,4.71,4.05,4.08,107939310.0
20180316,4.85,5.02,4.58,4.62,84635941.0
20180309,4.65,4.91,4.59,4.85,79920929.0
20180302,4.39,4.79,4.37,4.67,96165509.0
20180223,4.32,4.43,4.3,4.38,25275931.0
20180214,4.21,4.48,4.2,4.28,56644125.0
20180209,4.23,4.31,3.92,4.2,98741164.0
20180202,4.77,4.79,4.18,4.31,111361426.0
20180126,4.71,4.88,4.68,4.77,84393014.0
20180119,5.06,5.07,4.58,4.73,126671989.0
20180112,5.3,5.3,5.06,5.08,113065523.0
20180105,5.3,5.41,5.21,5.28,108041832.0
20171229,5.81,5.84,5.23,5.33,184066125.0
20171222,5.53,5.86,5.42,5.78,164916524.0
20171215,5.58,5.81,5.48,5.54,166831115.0
20171208,5.45,5.68,5.24,5.55,156597410.0
20171201,5.43,5.49,5.15,5.42,117845951.0
20171124,5.41,5.95,5.39,5.48,175322935.0
20171117,5.8,6.08,5.46,5.49,199485336.0
20171110,5.42,5.89,5.37,5.83,237613594.0
20171103,5.33,5.6,5.26,5.4,236615900.0
20171027,4.96,5.59,4.93,5.32,172055571.0
20171020,5.2,5.29,4.88,4.93,129959786.0
20171013,4.98,5.34,4.96,5.19,213170678.0
20170929,4.74,4.95,4.59,4.94,88370050.0
20170922,4.71,4.94,4.71,4.75,90995929.0
20170915,4.76,4.8,4.67,4.73,73522735.0
20170908,4.62,4.77,4.61,4.76,65371279.0
20170901,4.57,4.68,4.55,4.63,65035173.0
20170825,4.52,4.62,4.5,4.57,69704860.0
20170818,4.36,4.55,4.36,4.53,67201381.0
20170811,4.47,4.51,4.36,4.37,48623460.0
20170804,4.44,4.55,4.42,4.46,57820133.0
20170728,4.36,4.57,4.33,4.44,62036510.0
20170721,4.49,4.49,4.23,4.36,55750172.0
20170714,4.55,4.64,4.41,4.49,48862045.0
20170707,4.55,4.6,4.5,4.57,40876838.0
20170630,4.56,4.66,4.5,4.55,40357245.0
20170623,4.46,4.68,4.45,4.56,78373856.0
20170616,4.37,4.53,4.37,4.45,54509020.0
20170609,4.29,4.43,4.26,4.41,51286879.0
20170602,4.35,4.36,4.15,4.29,31598127.0
20170526,4.45,4.46,4.21,4.31,56489592.0
20170519,4.37,4.51,4.32,4.49,59051982.0
20170512,4.59,4.6,4.23,4.38,88342978.0
20170505,4.73,4.74,4.56,4.57,62311921.0
20170428,4.83,4.85,4.57,4.71,98678876.0
20170421,5.02,5.11,4.76,4.8,90954383.0
20170414,5.22,5.23,5.01,5.03,105818366.0
20170407,4.99,5.32,4.94,5.24,155878865.0
20170331,4.8,5.07,4.75,5.0,126083895.0
20170324,4.86,4.88,4.72,4.79,48243415.0
20170317,4.81,4.9,4.78,4.85,58584226.0
20170310,4.84,5.02,4.78,4.83,81081833.0
20170303,4.89,4.93,4.81,4.83,51823475.0
20170224,4.82,4.95,4.82,4.9,61379787.0
20170217,4.85,4.89,4.81,4.81,52226154.0
20170210,4.75,4.95,4.75,4.85,80605548.0
20170203,4.78,4.8,4.74,4.76,5560555.0
20170126,4.64,4.84,4.62,4.77,51178297.0
20170120,4.85,4.88,4.49,4.66,67669095.0
20170113,4.86,4.92,4.77,4.91,74627732.0
20170106,4.78,4.91,4.77,4.86,36507392.0
20161230,4.81,4.84,4.73,4.78,34695281.0
20161223,4.79,4.98,4.75,4.83,55121060.0
20161216,5.07,5.08,4.62,4.8,85915865.0
20161209,5.06,5.13,5.05,5.07,48154945.0
20161202,5.26,5.29,5.07,5.08,108450553.0
20161125,5.21,5.29,5.13,5.22,89103707.0
20161118,5.23,5.35,5.21,5.22,104899925.0
20161111,5.16,5.28,5.12,5.23,98691728.0
20161104,5.19,5.21,5.11,5.15,68500417.0
20161028,5.23,5.3,5.19,5.19,82147620.0
20161021,5.19,5.35,5.1,5.25,113474218.0
20161014,5.24,5.37,5.16,5.19,101046299.0
20160930,5.31,5.31,5.16,5.23,45680241.0
20160923,5.19,5.42,5.19,5.31,75368217.0
20160914,5.34,5.38,5.16,5.19,61244742.0
20160909,5.28,5.65,5.26,5.43,170432869.0
20160902,5.36,5.42,5.19,5.27,89962741.0
